German,English,German Sentence,Cloze Sentence,English Sentence,Image,Vocab Audio,Sentence Audio
"das Konzert, die Konzerte",concert,Das Konzert war fantastisch.,Das Konzert war fantastisch.,__ war fantastisch.,,media/azure-30ca4f43-ab0c9b11-ddf162b6-5732a19f-3a48cd23.mp3,media/azure-fea0c41f-f458f7f5-3d290347-0074731f-fd92d8ad.mp3
"die Karte, die Karten",ticket / card,Ich habe eine Karte für das Konzert.,Ich habe eine Karte für das Konzert.,Ich habe eine __ für das Konzert.,,media/azure-db4b703d-cf40f941-b95efa1d-aa46eb8c-8f7a5954.mp3,media/azure-f336ec5d-a828b0fa-e45f6f48-86974183-f782d10f.mp3
man,one / you,Man muss früh aufstehen.,Man muss früh aufstehen.,__ muss früh aufstehen.,,media/azure-7ab56c45-57df2687-6322ee0a-a8f98b85-79dd921c.mp3,media/azure-ac68cc29-6e3e728d-bf4bab2d-828210db-898b54f8.mp3
bekommen,to receive,Ich habe ein Geschenk bekommen.,Ich habe ein Geschenk bekommen.,Ich habe ein Geschenk __.,,media/azure-81933fb6-6ad1ba76-f942cc89-4d41dd11-134631d2.mp3,media/azure-fdd7d10d-5c271cfd-5eac01a0-44c187ae-d520d547.mp3
"der Rundgang, die Rundgänge",tour,Der Rundgang dauert zwei Stunden.,Der Rundgang dauert zwei Stunden.,__ dauert zwei Stunden.,,media/azure-dfb89b62-8e35aab5-fe20ea67-e0d1adc6-3b3c3541.mp3,media/azure-04c2397a-37611f33-c5a9a501-b3f13fb0-c846506d.mp3
Eintritt frei,free entry,Der Eintritt ist heute frei.,Der Eintritt ist heute frei.,__ ist heute frei.,,media/azure-4132e087-4f26c628-f229e5d6-c84eaeb7-d2bbf93a.mp3,media/azure-07b29578-5b029759-b06f4de3-5abba2e7-270362a8.mp3
kostenlos,free of charge,Diese App ist kostenlos.,Diese App ist kostenlos.,Diese App ist __.,,media/azure-9f1b10cb-1ea25ccc-fdeaa237-7ccd1229-da0542f4.mp3,media/azure-188706a9-1f8f5124-d7468eec-849c557f-4e778394.mp3
"der Schauspieler, die Schauspielerin",actor / actress,Die Schauspielerin spielt in einem neuen Film.,Die Schauspielerin spielt in einem neuen Film.,__ spielt in einem neuen Film.,,media/azure-72860315-49a02a90-3b7caeae-35dc6f95-bc0e5cee.mp3,media/azure-af213f96-6d8501b4-462c8721-436c86af-1c066469.mp3
Lieblings[film],favorite [movie],Mein Lieblingsfilm ist sehr spannend.,Mein Lieblingsfilm ist sehr spannend.,Mein __ ist sehr spannend.,,media/azure-fb094f67-c6cd721d-2cd9b1dc-4490b216-07eb6067.mp3,media/azure-81fa7879-012e9fdf-deae33d1-224f07bb-632329c0.mp3
langweilig,boring,Der Vortrag war langweilig.,Der Vortrag war langweilig.,Der Vortrag war __.,,media/azure-5ef0b22d-92c3a9bf-8d9dcec3-82c5e100-7a8766bf.mp3,media/azure-db66f26a-f84b99d4-d3c8b271-89e7b3ba-53a8f018.mp3
spannend,exciting,Das Buch ist wirklich spannend.,Das Buch ist wirklich spannend.,Das Buch ist wirklich __.,,media/azure-0ae68214-eea7a0b1-63ac105c-5c69fc39-39fa6143.mp3,media/azure-b9dc90f9-d180d5a8-3579a3c6-2c350177-d0a2a9b1.mp3
steigen (auf),to rise,Die Temperaturen steigen auf 30 Grad.,Die Temperaturen steigen auf 30 Grad.,Die Temperaturen __ auf 30 Grad.,,media/azure-bec54f0e-8f392987-89b44734-081d44a9-05ec1601.mp3,media/azure-04197fa4-b13a6fdc-a90ba153-d749b235-26ed1e22.mp3
kühl,cool,Es ist heute kühl draußen.,Es ist heute kühl draußen.,Es ist heute __ draußen.,,media/azure-28ec47fb-7343f9fc-7cd5a84c-98f58370-bcfc20b9.mp3,media/azure-ef06ba64-54fcb023-bba1ac79-2cc241c5-828a6aa5.mp3
draußen,outside,Wir spielen draußen im Garten.,Wir spielen draußen im Garten.,Wir spielen __ im Garten.,,media/azure-dd9c531c-53707977-7782ad4b-6bb4b473-0811eb0e.mp3,media/azure-8718e1b0-b32ba096-9e43f02d-2ec0b23b-edd304c4.mp3
trocken,dry,Der Boden ist trocken.,Der Boden ist trocken.,Der Boden ist __.,,media/azure-4f3192fa-92273cc9-9af7a4a9-62657a2c-10b8f1f8.mp3,media/azure-17b81d9f-c528b947-41046fbd-ebaf6461-f8345610.mp3
nass,wet,Meine Haare sind nass vom Regen.,Meine Haare sind nass vom Regen.,Meine Haare sind __ vom Regen.,,media/azure-be000f5c-fb805959-7a55c711-2068bcc9-eb00c8c8.mp3,media/azure-16107002-ae8f4188-392bb0e1-8f4e7276-0b526771.mp3
sinken (auf),to sink,Die Temperatur sinkt auf 10 Grad.,Die Temperatur sinkt auf 10 Grad.,Die Temperatur __ auf 10 Grad.,,media/azure-0b662010-61e5a611-7ad8ff27-b5fa74e9-4e4ffa10.mp3,media/azure-5e626aa9-b3360e9f-dc91179b-d0f8d236-9b6493e4.mp3
"der Sturm, die Stürme",storm,Der Sturm hat das Dach beschädigt.,Der Sturm hat das Dach beschädigt.,__ hat das Dach beschädigt.,,media/azure-25d1d930-0e00781f-9a27ec78-323034c8-8c5460b0.mp3,media/azure-5e41a632-763d13c2-c25566ac-ee528c2f-e8015ba9.mp3
"der Nebel, die Nebel",fog,Der Nebel war sehr dicht.,Der Nebel war sehr dicht.,__ war sehr dicht.,,media/azure-e12b6f6e-49d71e55-b0d7f08b-a305fe86-aa470512.mp3,media/azure-cf420141-e111185a-b26c01a9-d3993f36-922b1492.mp3
neblig,foggy,Es ist heute neblig.,Es ist heute neblig.,Es ist heute __.,,media/azure-386714d1-e89edfbb-dba4d132-e4e6b49b-5b46281d.mp3,media/azure-248f3ae7-90170443-4ce8a3c7-ffc21e50-951102a6.mp3
"das Gewitter, die Gewitter",thunderstorm,Das Gewitter zog schnell auf.,Das Gewitter zog schnell auf.,__ zog schnell auf.,,media/azure-546e1f8b-5b0f5d1b-45437ff2-4bd566d6-fbfa26a1.mp3,media/azure-fa33cd64-b4c9031a-7add06e7-1d7021c8-1ad5a7ee.mp3
stockender Verkehr,heavy traffic,Der stockende Verkehr machte uns spät.,Der stockende Verkehr machte uns spät.,__ machte uns spät.,,media/azure-cabf22d5-1df6644a-cc8e4c9e-37269f77-3d1033e0.mp3,media/azure-0e60b5c0-ef2f4e2a-52d2bc50-1d62919c-499563e6.mp3
"der Stau, die Staus",traffic jam,Wir standen im Stau.,Wir standen im Stau.,Wir standen im __.,,media/azure-f374c67d-962b9c17-372ef3be-e2643d95-0925561e.mp3,media/azure-920a8677-323da24b-76a1eb56-0bba92c4-b58c0bc8.mp3
gesperrt,closed / blocked,Die Straße ist wegen Bauarbeiten gesperrt.,Die Straße ist wegen Bauarbeiten gesperrt.,Die Straße ist wegen Bauarbeiten __.,,media/azure-24a43ee0-bc9aff26-8bd1bb24-bf50f5fa-bb3d45ef.mp3,media/azure-209fa6b0-13b697ae-3edcf74e-9c730db9-c84dd3fd.mp3
"die Umleitung, die Umleitungen",detour,Es gibt eine Umleitung wegen des Unfalls.,Es gibt eine Umleitung wegen des Unfalls.,Es gibt eine __ wegen des Unfalls.,,media/azure-4c2dc367-55c7da10-98175f46-ca9604c7-e0086f1e.mp3,media/azure-3bd95d88-10032050-005d25dc-0a3525c2-8484ec45.mp3
"die Baustelle, die Baustellen",construction site,Die Baustelle ist sehr laut.,Die Baustelle ist sehr laut.,__ ist sehr laut.,,media/azure-8c9475e4-38e24532-dfcf7a52-0a7a6d64-c60b4780.mp3,media/azure-058eb74a-cb0aa562-37b7e2c0-aa4ffe74-0a1dca6c.mp3
verabredet,arranged / planned,Wir sind für 19 Uhr verabredet.,Wir sind für 19 Uhr verabredet.,Wir sind für 19 Uhr __.,,media/azure-428fe579-c959e2a4-f1ce9984-c4950110-b53ec57f.mp3,media/azure-a1089736-015e11c1-a7966753-73bf2d82-557359eb.mp3
mich,me,Kannst du mich morgen anrufen?,Kannst du mich morgen anrufen?,Kannst du __ morgen anrufen?,,media/azure-e845f740-68c59dd0-551250d8-20c911cb-d739aa03.mp3,media/azure-67a35d04-88885243-f04e1715-5e3eae9e-0964aea4.mp3
dich,you,Ich rufe dich später an.,Ich rufe dich später an.,Ich rufe __ später an.,,media/azure-0b5205ec-b3295b09-4a256826-e0e96024-f1716fd4.mp3,media/azure-27723c46-e1821bdc-6ff19607-2534c31a-d4227d1e.mp3
zurückrufen,to call back,Er wird mich später zurückrufen.,Er wird mich später zurückrufen.,Er wird mich später __.,,media/azure-cec93735-d4827cb6-425815ac-9bc89c07-9641b5bb.mp3,media/azure-3c9995e6-a21edde4-d1fc37e0-2e20a57e-09b25cf7.mp3
etwas vorhaben,to plan something,Was hast du für heute Abend vor?,Was hast du für heute Abend vor?,Was __ du für heute Abend __?,,media/azure-da833486-edb5f7f4-9aaa3584-00c65aec-e0f2440a.mp3,media/azure-6344af70-072c6415-2bf67244-c76b3b26-c5dd2635.mp3
ihn,him,Ich habe ihn gestern gesehen.,Ich habe ihn gestern gesehen.,Ich habe __ gestern gesehen.,,media/azure-d38268cc-475d0a2b-89edfe53-019a103c-2e921ca1.mp3,media/azure-a2474190-d585d7b7-02a8b753-92a42a77-ddd7b8b7.mp3
es,it,Hast du es schon gesehen?,Hast du es schon gesehen?,Hast du __ schon gesehen?,,media/azure-094834b9-cdfe1325-994a1629-3b1660e1-c5ba2581.mp3,media/azure-9be78d69-8e164b1d-7ece83f2-11c924ac-3f5019ec.mp3
euch,you (plural),Ich werde euch später eine Nachricht schicken.,Ich werde euch später eine Nachricht schicken.,Ich werde __ später eine Nachricht schicken.,,media/azure-ee665889-4dd195c4-c6801e98-7402dc57-f8973228.mp3,media/azure-ec9ef639-680a1f6b-9ba04697-331a6756-3d684207.mp3
uns,us,Sie haben uns beim Einkaufen geholfen.,Sie haben uns beim Einkaufen geholfen.,Sie haben __ beim Einkaufen geholfen.,,media/azure-30056ce4-6116a623-088aa528-b6702244-0a6eb353.mp3,media/azure-bbf8d65f-de1b7fea-2b50383b-6a57a974-4b7f6b0a.mp3
löschen,to delete,Kannst du die Nachricht löschen?,Kannst du die Nachricht löschen?,Kannst du die Nachricht __?,,media/azure-d32a2265-ace7bef1-de0cfa2e-df3e5b37-ed6d3f4d.mp3,media/azure-2c711a2b-ceb436ea-5f70ea54-2df76d74-1a8272df.mp3
öffnen,to open,Bitte öffne das Fenster.,Bitte öffne das Fenster.,Bitte __ das Fenster.,,media/azure-7cefc856-a0ebe598-20ca1029-b88c6375-e57be906.mp3,media/azure-f463ef2b-86947289-e61fea00-9481943e-996f8964.mp3
speichern,to save,Ich muss die Datei speichern.,Ich muss die Datei speichern.,Ich muss die Datei __.,,media/azure-42d751e0-ee9f7235-7ce9c92c-794b57cd-007f733b.mp3,media/azure-6430d727-5db8f23e-aac9f6f2-f8e60034-93bef40d.mp3
ausdrucken,to print,Ich muss das Formular ausdrucken.,Ich muss das Formular ausdrucken.,Ich muss das Formular __.,,media/azure-a85606f7-b5e8cb6a-0910b81b-9ae6400f-eadaf0a8.mp3,media/azure-da44e946-53eda98e-5a183271-99d286e5-afb6bb4d.mp3
abschicken,to send,Hast du die E-Mail schon abgeschickt?,Hast du die E-Mail schon abgeschickt?,Hast du die E-Mail schon __?,,media/azure-338584ee-e74308bd-deb54afc-278943c6-e21bd69f.mp3,media/azure-c07c157f-194589b8-53fbd7fb-c82b9203-d347a8fd.mp3
herunterladen,to download,Ich lade gerade die Datei herunter.,Ich lade gerade die Datei herunter.,Ich __ gerade die Datei __.,,media/azure-748abdb6-a0669948-0b7ed989-ad6ab089-ea66ce4c.mp3,media/azure-e84194a9-33d2212a-cbd5d638-52115e9e-9be78a9c.mp3
hochladen,to upload,Du kannst das Bild hier hochladen.,Du kannst das Bild hier hochladen.,Du kannst das Bild hier __.,,media/azure-02e732fd-92176a80-4fd70afd-dde366ad-41629a64.mp3,media/azure-5247f44d-6db8ad08-50add844-5961b1b8-8ad230ea.mp3
einschalten,to turn on,Ich werde den Fernseher einschalten.,Ich werde den Fernseher einschalten.,Ich werde den Fernseher __.,,media/azure-908ce974-d1572587-c0392b4e-957ec3cb-32eb29b7.mp3,media/azure-43deb61a-35aad2a3-fec0dd50-46eed487-8615c719.mp3
ausschalten,to turn off,Schalt bitte das Licht aus.,Schalt bitte das Licht aus.,__ bitte das Licht __.,,media/azure-38297905-3c3f8b8f-3a5c7ccd-7e96a21a-a2ac05f3.mp3,media/azure-e9c34647-911edde1-3b39dcbb-38021795-389ab17a.mp3
herunterfahren / runterfahren,to shut down / go down,Ich muss den Computer herunterfahren.,Ich muss den Computer herunterfahren.,Ich muss den Computer __.,,media/azure-d89a2c48-5b3f610a-2c9418c0-51b9f0ff-d0627c62.mp3,media/azure-ac686ab5-a276ce43-ebbf3d4c-609cc2b1-90ed2eb6.mp3
"die Datei, die Dateien",file,Ich habe die Datei gespeichert.,Ich habe die Datei gespeichert.,Ich habe __ gespeichert.,,media/azure-24b3ffbb-116c11c3-397f0770-8aff9df4-3a3c3f35.mp3,media/azure-97d76043-57618954-45056337-c1b74d7e-a29bffea.mp3
"die Plattform, die Plattformen",platform,Diese Plattform ist sehr benutzerfreundlich.,Diese Plattform ist sehr benutzerfreundlich.,Diese __ ist sehr benutzerfreundlich.,,media/azure-27040053-95672e02-3ca81a92-eaacca73-a1e17a81.mp3,media/azure-dbec8f77-29cf62f2-f306248a-e1d1d271-b59d3dfd.mp3
sich anmelden / sich registrieren,to register,Ich muss mich für den Kurs anmelden.,Ich muss mich für den Kurs anmelden.,Ich muss mich für den Kurs __.,,media/azure-aae164df-a10060e6-3c983781-35a4e5f5-f6421dad.mp3,media/azure-3f3d7952-aeca73b8-4531f244-c9becbfb-442e0d10.mp3
"die Registrierung, die Registrierungen",registration,Die Registrierung ist kostenlos.,Die Registrierung ist kostenlos.,__ ist kostenlos.,,media/azure-5566c550-2ee3b051-f2570c90-477af74e-92d7b883.mp3,media/azure-d0c0b067-374a6e1c-872b0485-318c6e77-8f58e8b0.mp3
"das Passwort, die Passwörter",password,Ich habe mein Passwort vergessen.,Ich habe mein Passwort vergessen.,Ich habe mein __ vergessen.,,media/azure-6eca398c-4c05e36a-731f027f-ab55a1c9-c47be5dd.mp3,media/azure-d44d704e-80cdcbea-f77fda02-29d6bbba-c2b0b764.mp3
"der Link, die Links",link,"Klick auf den Link, um mehr zu erfahren.","Klick auf den Link, um mehr zu erfahren.","Klick auf den __, um mehr zu erfahren.",,media/azure-9a61f613-3c5de108-4902830b-5bcf4da7-5c5df6a7.mp3,media/azure-9f286ccc-e02311b3-9310b7fb-92e77573-b58a02e5.mp3
"der Babysitter, die Babysitterin",babysitter,Wir haben einen Babysitter für den Abend.,Wir haben einen Babysitter für den Abend.,Wir haben einen __ für den Abend.,,media/azure-05cb7625-777f5b00-da5bf08d-7502d9dd-46697810.mp3,media/azure-71551817-995d115f-459a9b4d-924c4670-c857fd64.mp3
"der Tipp, die Tipps",tip,"Ein guter Tipp für den Urlaub ist, früh zu buchen.","Ein guter Tipp für den Urlaub ist, früh zu buchen.","Ein guter __ für den Urlaub ist, früh zu buchen.",,media/azure-a21e02a3-d687eb63-09c48003-97c28965-dbf52aeb.mp3,media/azure-ecb47fea-0c29dcaa-6ae0ddd8-8a991277-29c8bad4.mp3
jdm. etwas empfehlen,to recommend something to someone,Ich kann dir dieses Restaurant empfehlen.,Ich kann dir dieses Restaurant empfehlen.,Ich kann dir dieses Restaurant __.,,media/azure-1717f321-5ee297b8-8c0ec06d-4c49f909-0baf2679.mp3,media/azure-669fe3d7-07556453-9fdd8c78-846dd915-518f5124.mp3
laufen / laufen gehen,to run / to go for a run,Wir gehen jeden Morgen laufen.,Wir gehen jeden Morgen laufen.,Wir gehen jeden Morgen __.,,media/azure-5317717f-b2651e2e-08c673c8-ade0b898-729bcf25.mp3,media/azure-2dc538aa-a458a232-201f8413-689a865f-f088296b.mp3
"der Wetterbericht, die Wetterberichte",weather forecast,Der Wetterbericht sagt Regen voraus.,Der Wetterbericht sagt Regen voraus.,__ sagt Regen voraus.,,media/azure-17a6eb36-c6736f7a-cbfc03bf-1ee810e5-0f28a92b.mp3,media/azure-79178f90-ba5b9ef1-1d875ad8-3d5804bb-2910a7a3.mp3
"die Gruppe, die Gruppen",group,Wir haben uns in kleine Gruppen aufgeteilt.,Wir haben uns in kleine Gruppen aufgeteilt.,Wir haben uns in kleine __ aufgeteilt.,,media/azure-f0039a33-ab9082be-66dfff4d-aeef40e1-e019435e.mp3,media/azure-e8f9e37e-288b6dd8-0c365d88-64e63fcb-7f009fdf.mp3
downloaden,to download,Ich muss die Datei von der Website downloaden.,Ich muss die Datei von der Website downloaden.,Ich muss die Datei von der Website __.,,media/azure-cb645367-c61315ec-7e70c9ea-3499b18e-321a4c5c.mp3,media/azure-4e71e7b5-63011350-33c6af2d-e7665510-634eb6fc.mp3
jdm. (etwas) simsen,to text someone (something),Ich simse ihm gleich die Adresse.,Ich simse ihm gleich die Adresse.,Ich __ ihm gleich die Adresse.,,media/azure-cfdc2009-2fe18baa-024709d7-04d71dbe-dd13622a.mp3,media/azure-430b5415-becc6731-fbdae8a4-05669b3e-073f41d6.mp3
jdm. (etwas) mailen,to email someone (something),Ich werde dir die Datei mailen.,Ich werde dir die Datei mailen.,Ich werde dir die Datei __.,,media/azure-17791e41-a644a599-7faa7fff-6ce3b6a1-65b7f41e.mp3,media/azure-7d3abecd-da9d837b-ae0243ad-47b04852-e0bbfdf1.mp3
mit jdm. chatten,to chat with someone,Wir haben die ganze Nacht gechattet.,Wir haben die ganze Nacht gechattet.,Wir haben die ganze Nacht __.,,media/azure-d7f02ee6-4c7dd371-caf95551-3022638e-97311dc6.mp3,media/azure-3fa412bc-b9db7505-76b287d5-907e19fd-75d7dcf8.mp3
"die SMS, die SMS",SMS,Ich habe eine SMS bekommen.,Ich habe eine SMS bekommen.,Ich habe eine __ bekommen.,,media/azure-ccecb03c-8106dded-62351629-2470ee70-462a2f7d.mp3,media/azure-7912bad5-a1a5b252-f1ecf3a9-8ed72c2e-986b6635.mp3
nehmen,to take,Kannst du das bitte nehmen?,Kannst du das bitte nehmen?,Kannst du das bitte __?,,media/azure-5e41e4df-911bad39-cd339f9d-38536353-220d2827.mp3,media/azure-a06d4356-a89468c5-a0322d1f-9b7efa25-6758815a.mp3
"die S-Bahn, die S-Bahnen",suburban train,Die S-Bahn fährt alle zehn Minuten.,Die S-Bahn fährt alle zehn Minuten.,__ fährt alle zehn Minuten.,,media/azure-2392c9e6-fb826d90-57199a90-8dc293cf-eddd7c7e.mp3,media/azure-9aa091c6-aa1a812d-69078987-3b97af5e-93549f6f.mp3
"das Ski, die Skier",ski,Er fährt jeden Winter Ski.,Er fährt jeden Winter Ski.,Er fährt jeden Winter __.,,media/azure-65355c26-936f7fd0-8717e12b-515443c1-e8dd774a.mp3,media/azure-f3fa9c52-d3292628-d2d895fa-d590276a-9edf8a8b.mp3
"der Roller, die Roller",scooter,Der Roller ist schnell.,Der Roller ist schnell.,__ ist schnell.,,media/azure-3f0cf37f-e165df9d-18e7d07a-f1bf85a5-1f172451.mp3,media/azure-bf098d53-d6448691-c3e33746-4587b1b5-f9aa1dcd.mp3
"das Flugzeug, die Flugzeuge",airplane,Das Flugzeug landet in einer Stunde.,Das Flugzeug landet in einer Stunde.,__ landet in einer Stunde.,,media/azure-c7cfced6-0323f8e9-449ba504-670c3bb2-f52322de.mp3,media/azure-cc1266d7-2ef75e57-36165ceb-6edf36fb-6bee76d5.mp3
"die Universität, die Universitäten / die Uni, die Unis",university,Er studiert an der Universität in Berlin.,Er studiert an der Universität in Berlin.,Er studiert an __ in Berlin.,,media/azure-7131593d-9b477b81-3a8a1c52-3e1e21a8-74f0ee40.mp3,media/azure-1d40bbf4-47ce0af1-e221973e-b47b510f-90174771.mp3
"der Hafen, die Häfen",harbor,Die Schiffe fahren jeden Tag aus dem Hafen.,Die Schiffe fahren jeden Tag aus dem Hafen.,Die Schiffe fahren jeden Tag aus dem __.,,media/azure-005c168e-39fcf0c6-ea883c06-554e3669-dba585d7.mp3,media/azure-a95f5790-a45717e9-6ace17d8-875ac5f9-8289a456.mp3
"der Flughafen, die Flughäfen",airport,Wir sind früh am Flughafen angekommen.,Wir sind früh am Flughafen angekommen.,Wir sind früh am __ angekommen.,,media/azure-334f561d-d8a4bbe5-76eb36a0-c95abb62-c57c9c03.mp3,media/azure-57210521-a0886aa8-1e194f81-f8a0d5b5-f287c7cb.mp3
"das Schloss, die Schlösser",castle,Das Schloss ist sehr alt.,Das Schloss ist sehr alt.,__ ist sehr alt.,,media/azure-77651cdd-0cadd8d7-d35a91ce-a2d9abd0-45710362.mp3,media/azure-b6c1824a-3fd3ca93-eecf18e4-2c86b7df-669d3572.mp3
"das Stadion, die Stadien",stadium,Das Stadion war voll.,Das Stadion war voll.,__ war voll.,,media/azure-cdb57eaa-c186933a-a58e40ef-e8eaddf2-dc25c794.mp3,media/azure-84682475-e405d1c0-a3174b2c-1420e5fb-35f8987a.mp3
fliegen,to fly,Ich fliege morgen nach Paris.,Ich fliege morgen nach Paris.,Ich __ morgen nach Paris.,,media/azure-e500ef4b-6c194115-ff31365f-f4e15c27-b8267342.mp3,media/azure-d4fea545-2aaf5028-f952bd02-94eaeb59-9e9b7ed3.mp3
"die Station, die Stationen",station,Die U-Bahn-Station ist gleich da vorne.,Die U-Bahn-Station ist gleich da vorne.,Die U-Bahn-__ ist gleich da vorne.,,media/azure-86c88a26-e4540daa-8bc9bf73-099a23d2-95d8cc1d.mp3,media/azure-81dec3d8-e516e3c1-7c368a3f-8a826603-7a942334.mp3
"der Hauptbahnhof, die Hauptbahnhöfe",main train station,Der Hauptbahnhof ist der größte in der Stadt.,Der Hauptbahnhof ist der größte in der Stadt.,__ ist der größte in der Stadt.,,media/azure-f37bb82e-3832adec-f7cb75c0-90cd11e0-f4605d81.mp3,media/azure-dba0c96d-3b813ff8-7c271bf8-eb6765db-09bce88e.mp3
erklären,to explain,Kannst du das bitte erklären?,Kannst du das bitte erklären?,Kannst du das bitte __?,,media/azure-ef7f61a9-c3a6e580-1646dfeb-a2d3b40f-346c1bc1.mp3,media/azure-a4996635-fff50065-1bc22088-e9a505d6-12bc935f.mp3
"der Weg, die Wege",way / path,Der Weg zum Park ist sehr schön.,Der Weg zum Park ist sehr schön.,__ zum Park ist sehr schön.,,media/azure-16afcd64-969f4c9b-885eb558-ab8685fb-f850ee81.mp3,media/azure-9b4e6841-7a19a10a-5e23a01b-ca24cb2a-b2ba8964.mp3
direkt,direct,Der direkte Weg ist der schnellste.,Der direkte Weg ist der schnellste.,Der __ Weg ist der schnellste.,,media/azure-1996bba9-af87c692-13b693a7-b013df9b-39f8d22b.mp3,media/azure-61f7950a-bd5bed5c-6ed0d9ce-842c369c-9d00ea27.mp3
"der Geldautomat, die Geldautomaten",ATM,Der Geldautomat ist gleich um die Ecke.,Der Geldautomat ist gleich um die Ecke.,__ ist gleich um die Ecke.,,media/azure-8f09dba3-542b19e4-f825f186-159c7f3d-017d086b.mp3,media/azure-fd48a65e-c24b2f16-5edd84c5-c82bfab6-69514e67.mp3
der Fahrkartenautomat,ticket machine,Wir müssen unsere Tickets am Fahrkartenautomaten kaufen.,Wir müssen unsere Tickets am Fahrkartenautomaten kaufen.,Wir müssen unsere Tickets am __ kaufen.,,media/azure-f5910cd2-c309169c-b57ca709-0f41008c-e9a84f0c.mp3,media/azure-63d7fbc3-2f2a928c-ccfa0ab4-62ae9d67-a407a6cc.mp3
"der Laden, die Läden",store,Der Laden öffnet um 9 Uhr.,Der Laden öffnet um 9 Uhr.,__ öffnet um 9 Uhr.,,media/azure-32980071-04089d4e-4d7388ad-ac35ad25-2d01e5a9.mp3,media/azure-55bf8ea4-8de51ecb-dd9568d7-3a127c08-8e855e72.mp3
"der Eingang, die Eingänge",entrance,Der Eingang ist auf der linken Seite.,Der Eingang ist auf der linken Seite.,__ ist auf der linken Seite.,,media/azure-e5e6d1e0-f2eec88a-d63f959c-12de4646-2f44cbea.mp3,media/azure-3008c229-8eaf04a9-8dda2cb2-8997f502-2b912510.mp3
der ICE,high-speed train,Der ICE fährt sehr schnell.,Der ICE fährt sehr schnell.,__ fährt sehr schnell.,,media/azure-919a086e-c758d1c2-9e05e01d-80509232-eaec4b75.mp3,media/azure-1881bd05-c9b0bb6b-d5a3d68c-a3095fc9-4254bdc7.mp3
reservieren,to reserve,Wir haben einen Tisch für zwei reserviert.,Wir haben einen Tisch für zwei reserviert.,Wir haben einen Tisch für zwei __.,,media/azure-bdcace80-51caa223-c258a975-2d1120ff-70a5d3c3.mp3,media/azure-900e180c-07d66043-21511ece-0c57413e-b439eeae.mp3
"die Fahrt, die Fahrten",trip,Die Fahrt dauert zwei Stunden.,Die Fahrt dauert zwei Stunden.,__ dauert zwei Stunden.,,media/azure-7b625bb2-32774393-ac1dfc4f-19c66c10-dfd05e9e.mp3,media/azure-fe90d3c2-3b535484-d8b2d294-f25f92e7-4de61629.mp3
dauern,to last,Der Film dauert 90 Minuten.,Der Film dauert 90 Minuten.,Der Film __ 90 Minuten.,,media/azure-2ff9f36e-26c77b03-ca407b81-b5c58fa7-b2abb63f.mp3,media/azure-313fc3d5-db75e2b0-6d432b60-e32e8d0f-45309786.mp3
"die Hinfahrt, die Hinfahrten",outward journey,Die Hinfahrt war schnell.,Die Hinfahrt war schnell.,__ war schnell.,,media/azure-89e4f5f7-99eefd5c-cec2942d-b369a6ce-31aedaf8.mp3,media/azure-11ec4eee-0e651d61-36a89023-e935e7be-c3f89a05.mp3
"die Rückfahrt, die Rückfahrten",return journey,Die Rückfahrt dauert länger.,Die Rückfahrt dauert länger.,__ dauert länger.,,media/azure-d8cd5e4c-5f27ca76-8eae7814-b6796dd9-811ade0b.mp3,media/azure-047aac42-d3bc472c-5f570467-24c54b23-d38877f0.mp3
zurückfahren,to drive back,Wir müssen jetzt zurückfahren.,Wir müssen jetzt zurückfahren.,Wir müssen jetzt __.,,media/azure-674af46b-10737d77-427d843f-79d1719d-9f4945a8.mp3,media/azure-9e727552-8842d5f3-01ca1089-ff23a3e4-2f4d9c9e.mp3
abfahren,to depart,Der Zug fährt um 8 Uhr ab.,Der Zug fährt um 8 Uhr ab.,Der Zug __ um 8 Uhr __.,,media/azure-ce76c2d7-0647bfeb-e0e7b0ad-7e690ac1-ace1d13f.mp3,media/azure-0bc52229-bdc764bc-79ff7cdf-f173451e-445f5f28.mp3
"die Abfahrt, die Abfahrten",departure,Die Abfahrt ist um 10 Uhr.,Die Abfahrt ist um 10 Uhr.,__ ist um 10 Uhr.,,media/azure-55abaec6-2adc163e-67cff40b-ea225a75-ed2578a5.mp3,media/azure-885310d3-8291b437-60a5738a-2b1137e1-101e0ef2.mp3
"die Ankunft, die Ankünfte",arrival,Die Ankunft ist für 9 Uhr geplant.,Die Ankunft ist für 9 Uhr geplant.,__ ist für 9 Uhr geplant.,,media/azure-d5996c8d-b79f83a4-bc2bcaba-7b30c976-2a7c8d6b.mp3,media/azure-edf7f7e8-1168b4df-8e0e4d33-3ebe5f9c-194929eb.mp3
"die Reservierung, die Reservierungen",reservation,Ich habe eine Reservierung für 20 Uhr.,Ich habe eine Reservierung für 20 Uhr.,Ich habe eine __ für 20 Uhr.,,media/azure-e3a2d687-4ee27b9a-f9b8bead-bdeea1f8-0c7ab343.mp3,media/azure-7638ea71-d3277085-be167bee-18955583-f16f99b1.mp3
buchen,to book,Ich muss noch ein Hotel buchen.,Ich muss noch ein Hotel buchen.,Ich muss noch ein Hotel __.,,media/azure-740d8736-4d64fdfb-5183a33b-82e7b87f-d19940c7.mp3,media/azure-fa8263b7-e402e84e-a633e559-659fff44-5473a1aa.mp3
